Campaign_Name,Channel,Spend,Impressions,Clicks,Conversions,Revenue,Start_Date,End_Date,Campaign_Type,Region
"Morris, Shelton and Combs",Social Media,1286.06,80413,2556,588,6460.55,2024-04-09,2024-05-20,Conversion,North America
"Wright, West and Chapman",Search Engine,3076.0,110940,7104,931,29952.49,2022-04-17,2024-04-17,Conversion,North America
Gonzalez Group,TV,3235.75,206955,4460,186,2121.45,2024-08-23,2024-11-09,Conversion,South America
Sawyer LLC,Email,573.22,25449,2692,960,50370.43,2023-01-12,2023-08-01,Conversion,North America
Everett-Graham,Search Engine,1424.25,79203,4161,738,58172.67,2023-10-05,2024-02-18,Retargeting,Europe
Holt-Nguyen,Search Engine,2036.4,113918,15068,1364,36131.45,2023-07-13,2023-08-30,Conversion,India
"Page, Murillo and Young",Email,214.22,6734,603,178,4115.6,2024-05-19,2024-12-12,Awareness,India
Burns Inc,TV,2191.77,229310,7272,478,13205.84,2022-03-12,2024-12-13,Conversion,South America
"Molina, Garcia and Chapman",Social Media,1443.14,118638,7443,1073,36030.13,2023-12-23,2024-10-11,Conversion,Europe
Chandler PLC,TV,3528.74,274782,7670,205,18601.59,2022-01-29,2022-05-18,Awareness,Asia
Mahoney Ltd,Email,315.38,14210,1566,172,14179.81,2024-04-28,2024-07-15,Conversion,North America
Woods-Taylor,Social Media,1071.03,55409,4322,473,35504.15,2024-09-24,2024-10-21,Awareness,Europe
"Harrison, Schmidt and Watkins",Social Media,2113.11,130201,6279,724,27487.55,2024-10-28,2024-11-20,Awareness,India
"Martinez, Lopez and French",Search Engine,3534.64,233327,16539,3168,107913.89,2024-09-29,2024-10-17,Conversion,Europe
"Elliott, Wright and Beck",Radio,1601.98,157109,3364,287,13538.99,2022-01-01,2024-06-26,Retargeting,India
"Armstrong, Taylor and Barnes",TV,4903.18,340398,19746,1360,45325.9,2024-02-05,2024-12-05,Awareness,North America
Fernandez-Duncan,TV,2227.39,125078,3428,356,28146.39,2023-04-12,2023-12-23,Awareness,South America
Wilcox Group,Radio,3639.68,174059,5374,235,18955.17,2024-06-19,2024-09-04,Awareness,South America
"Robinson, Ward and Duffy",Social Media,2602.95,197674,8305,505,23038.6,2024-01-05,2024-10-12,Retargeting,India
Burns-Norton,Radio,3092.68,291295,7471,707,72623.29,2023-06-18,2024-12-15,Retargeting,North America
"Garcia, Roberts and Dominguez",Radio,3949.35,197227,6469,168,4612.36,2024-11-13,2024-12-03,Awareness,Europe
"Simpson, Brown and Brown",TV,1306.92,71387,3835,93,5394.32,2022-04-19,2024-06-17,Awareness,North America
"Booth, Fernandez and Brown",Radio,1713.48,133619,2104,43,1704.53,2023-04-17,2024-04-13,Retargeting,Asia
Rivera-Flores,Radio,1898.56,103243,3144,264,23829.35,2023-11-23,2024-05-26,Retargeting,Asia
Perez-Phillips,Social Media,2140.07,137124,10934,1679,137385.83,2023-12-23,2024-09-07,Conversion,South America
Marshall-Estrada,Search Engine,5590.91,131112,8493,900,6554.63,2022-10-16,2024-01-11,Conversion,Europe
"Preston, Larson and Norris",TV,2439.98,161520,5192,177,15333.63,2023-11-22,2024-01-19,Retargeting,Europe
Reilly-Franklin,Social Media,2516.94,91155,9278,812,19457.1,2024-10-21,2024-12-11,Conversion,Asia
Brown-Monroe,Social Media,894.14,56202,4262,421,9844.7,2024-06-02,2024-12-08,Awareness,Europe
Bentley Group,Email,214.35,12651,726,276,5791.41,2022-11-09,2024-03-08,Retargeting,India
White-Robinson,TV,4024.5,340075,5536,293,28380.75,2023-11-09,2024-03-31,Awareness,North America
Mann LLC,TV,2943.15,252047,5471,228,13108.68,2021-12-07,2023-12-04,Retargeting,Europe
Dunlap Inc,Search Engine,3397.13,162643,15227,2744,284627.88,2023-02-10,2024-05-30,Awareness,North America
"Levy, Johnson and Salas",Radio,4705.74,479782,4509,305,22215.34,2023-07-14,2024-05-23,Retargeting,North America
Robinson-Russell,Radio,5183.89,323626,12468,529,7395.17,2024-04-04,2024-10-04,Retargeting,South America
Mills-Ward,TV,10414.81,343756,8217,814,4003.74,2022-12-09,2023-11-30,Awareness,Asia
Mason-Parsons,TV,4047.55,339551,4145,122,9825.59,2021-12-18,2022-08-27,Conversion,India
Fowler and Sons,Email,880.12,48803,6043,580,18756.75,2022-05-13,2023-02-18,Conversion,South America
Johnson PLC,Social Media,3021.19,201371,16829,965,20973.43,2023-05-11,2023-10-05,Retargeting,North America
"Morgan, Anderson and Baker",Email,282.54,11634,1212,251,16771.46,2024-11-15,2024-11-27,Retargeting,Europe
Roberts-Perez,Social Media,6827.2,162887,7487,1309,37098.81,2022-06-07,2023-04-30,Conversion,Asia
Mullins-Harris,Radio,2926.75,203056,8089,682,41703.3,2024-10-30,2024-12-04,Conversion,Europe
Blake LLC,TV,3515.63,230829,5043,466,13984.0,2024-06-28,2024-11-01,Conversion,South America
Salazar-Turner,Social Media,560.0,34850,2168,321,23006.48,2022-05-23,2023-09-23,Awareness,Europe
"Harrington, Morgan and Cook",Radio,2282.97,153468,6472,459,32637.43,2022-11-04,2024-01-31,Retargeting,South America
Whitehead LLC,Social Media,2825.19,42812,1241,66,622.63,2024-04-11,2024-11-05,Awareness,South America
"Campbell, Potter and Williams",Search Engine,2643.12,174418,12965,2065,96308.36,2023-07-23,2024-01-24,Awareness,South America
Parker and Sons,TV,2270.63,222089,7869,578,27359.36,2023-02-05,2023-08-30,Conversion,Europe
Miller and Sons,Radio,1636.32,70529,1955,98,1004.78,2023-05-31,2024-06-07,Awareness,Europe
Clark-Andrews,TV,1960.63,221112,7890,874,55346.17,2023-06-18,2023-08-16,Retargeting,India
Chang-Jones,Social Media,1630.65,84054,6094,1197,25125.08,2024-01-19,2024-02-25,Awareness,South America
"Macdonald, Cox and Jones",Radio,1968.05,120744,3215,265,10142.11,2022-06-06,2023-06-05,Retargeting,Asia
Rhodes and Sons,Email,386.84,14938,1052,338,7433.07,2024-11-14,2024-12-02,Conversion,Asia
Ray-Lutz,TV,1544.18,100622,1136,65,7344.47,2023-05-02,2024-06-24,Retargeting,Europe
"Gibson, Wood and Harmon",TV,1182.0,63646,871,77,5143.35,2023-06-01,2024-11-23,Retargeting,South America
Hoffman-Stewart,Radio,2512.44,136015,6363,555,12525.02,2022-07-01,2024-08-19,Conversion,Europe
Hernandez-Stewart,Social Media,1801.03,34745,3476,231,4555.6,2023-01-31,2023-02-11,Retargeting,North America
Hunt-Hunt,Radio,1928.5,90496,1962,198,3557.84,2023-02-15,2024-10-06,Conversion,Europe
Mack-Green,Radio,2739.35,217986,2917,240,12174.45,2023-06-21,2024-03-12,Retargeting,North America
Murray Ltd,Radio,1459.4,118158,4694,430,27281.63,2023-11-26,2024-01-30,Retargeting,South America
Stevenson-Ferguson,Radio,1079.67,87415,1317,54,1425.59,2023-02-14,2024-07-21,Awareness,Asia
Burns Group,Social Media,1044.12,55193,5134,269,26303.85,2022-08-22,2023-10-31,Awareness,Europe
Walker Ltd,TV,1568.21,123273,1644,126,2050.11,2022-03-11,2023-01-17,Conversion,North America
Rivers Inc,TV,2603.52,229237,5923,606,39755.89,2024-10-08,2024-10-28,Retargeting,North America
Fowler Ltd,TV,4693.71,224306,6651,633,36300.58,2023-08-24,2024-11-26,Conversion,Europe
Poole LLC,Radio,4990.3,515555,4243,440,16430.15,2022-11-18,2023-01-07,Awareness,Asia
Robinson PLC,Search Engine,1992.28,92703,9574,1246,99891.95,2023-07-07,2024-12-10,Retargeting,South America
Savage-Wilson,Social Media,1709.11,82674,7530,700,17856.41,2024-11-19,2024-12-13,Conversion,Asia
"Reyes, Olson and Pena",Search Engine,1427.03,50703,5600,954,59759.87,2024-07-26,2024-11-11,Retargeting,Asia
"Ochoa, Guerra and Martinez",Search Engine,1235.3,61892,5347,1111,38189.0,2022-11-18,2023-10-26,Awareness,Asia
Townsend PLC,Radio,1535.58,77098,2408,151,5228.6,2023-11-06,2024-11-18,Retargeting,India
Hicks and Sons,Email,196.98,9677,831,107,2720.65,2023-06-19,2024-02-13,Conversion,North America
Bennett-Sanchez,TV,3091.19,317505,11085,823,29000.41,2022-08-31,2024-10-27,Conversion,South America
"Thompson, Lopez and Mcdonald",TV,1685.25,118587,2339,160,8926.58,2023-12-31,2024-04-12,Retargeting,North America
Beasley Group,TV,1711.09,112496,4643,114,9481.74,2023-05-02,2024-07-25,Retargeting,Asia
Mann LLC,Social Media,2337.43,56088,2895,527,7768.76,2024-06-17,2024-07-27,Awareness,North America
Vaughan PLC,Search Engine,4173.97,157178,17201,3800,194736.12,2024-10-30,2024-11-24,Awareness,South America
Massey Group,Email,777.24,46461,3706,774,28548.09,2023-02-12,2024-01-23,Conversion,Asia
Mills-Lyons,TV,3889.15,387141,12737,794,47798.48,2021-11-25,2022-09-27,Awareness,India
Terry LLC,Social Media,5763.09,108711,6689,543,4375.22,2022-04-18,2022-04-18,Retargeting,Europe
"Phillips, Finley and Gomez",Social Media,2470.46,108907,7095,919,38226.98,2024-08-04,2024-09-20,Retargeting,India
"Douglas, Johnson and Anderson",Email,976.59,34300,1737,335,13323.88,2023-12-19,2024-03-12,Retargeting,Europe
"Petersen, Alvarado and Johnson",Radio,1568.99,136290,1701,83,8839.6,2023-12-11,2024-08-02,Awareness,South America
Neal-Cox,Social Media,1550.4,57440,2490,270,22559.84,2023-05-22,2023-11-07,Awareness,North America
"Washington, Lee and Padilla",Search Engine,3048.48,197647,19747,1959,189563.88,2022-07-06,2022-09-22,Retargeting,North America
Smith-Manning,Radio,2978.04,280591,7887,450,30444.12,2022-04-06,2022-05-26,Retargeting,North America
Phillips Group,Email,243.88,16360,990,245,5933.55,2022-01-07,2023-03-16,Retargeting,Asia
"Mitchell, Thomas and Edwards",Email,863.26,38397,2873,528,41802.78,2023-04-21,2024-08-31,Conversion,Asia
"Henderson, Clarke and Robinson",Search Engine,1991.47,108050,8698,1219,131701.49,2024-11-13,2024-12-18,Conversion,South America
Thomas Ltd,Social Media,910.19,42310,2924,383,30375.73,2021-12-07,2022-03-18,Awareness,Asia
Kelly Ltd,Radio,4885.81,442098,12826,1336,61264.17,2024-02-04,2024-02-19,Conversion,India
"Wilson, Dickerson and Yates",Social Media,911.8,80557,3460,685,20849.81,2024-08-25,2024-09-07,Conversion,Europe
Scott and Sons,Email,620.17,27567,2950,468,33051.86,2023-06-01,2023-10-14,Awareness,Asia
Turner-Kelly,TV,4435.7,207136,9620,1151,33871.68,2023-02-06,2024-01-12,Retargeting,Asia
Vaughn PLC,Social Media,617.1,23946,1427,343,15065.35,2024-09-08,2024-11-09,Retargeting,Asia
Stewart-Knight,Search Engine,1369.73,86458,6071,1034,12700.51,2023-04-10,2023-12-02,Conversion,India
"Davis, Williams and Marks",TV,2505.96,182299,7883,720,18600.12,2022-05-04,2023-07-26,Awareness,Europe
Young-Reed,Social Media,3904.75,81451,2338,288,1185.31,2024-01-13,2024-02-19,Awareness,North America
Floyd Ltd,Search Engine,2675.9,156664,12831,1473,47369.28,2023-11-21,2024-05-30,Awareness,Europe
Dudley LLC,TV,1728.1,94682,2917,103,3234.25,2024-02-04,2024-08-13,Conversion,South America
Figueroa-Lawrence,Radio,2919.52,106237,3333,264,4912.68,2022-08-10,2024-04-18,Conversion,India
"Mcdowell, Taylor and Pineda",Social Media,2154.11,199653,15772,866,33561.81,2022-01-18,2024-03-27,Retargeting,Europe
Bell-Hanna,Social Media,2929.79,188694,14721,1013,21731.16,2024-07-26,2024-11-08,Retargeting,North America
Reeves Ltd,Social Media,2581.34,157486,16103,2412,26704.74,2024-01-22,2024-08-18,Awareness,Asia
Greene-Sutton,Email,284.87,13226,1018,113,9398.99,2024-07-10,2024-12-20,Awareness,Europe
Stewart Inc,Radio,4632.75,360184,8812,399,42719.64,2023-07-10,2024-05-20,Retargeting,South America
Grant-Ayala,Social Media,876.14,56860,4104,415,17598.25,2023-11-10,2024-04-09,Retargeting,South America
Miller Group,Search Engine,3688.9,150360,13797,3015,166662.17,2024-03-24,2024-11-08,Retargeting,India
"Klein, Davis and Goodwin",Social Media,1137.2,87444,5559,581,45410.08,2024-07-19,2024-09-10,Retargeting,Europe
"Smith, Villa and Cordova",Social Media,3126.61,163315,6182,408,38176.1,2024-07-18,2024-11-27,Awareness,Asia
"Holloway, Johnson and Robinson",TV,3877.65,235236,6045,775,29157.45,2024-02-16,2024-03-08,Retargeting,India
Farley-Brown,Radio,1567.17,150214,3603,312,11441.43,2024-01-16,2024-10-23,Awareness,South America
"Smith, Caldwell and Smith",Radio,4403.14,308441,11183,928,92078.5,2022-03-01,2022-11-30,Conversion,North America
"Sanford, Gardner and Sims",Search Engine,2024.03,124858,6050,888,51241.66,2024-01-28,2024-01-30,Retargeting,Europe
"Smith, Miller and Brooks",Radio,1774.33,134853,1844,105,2000.3,2024-07-31,2024-11-03,Retargeting,Asia
"Clark, Lewis and Vasquez",Search Engine,1561.96,102608,8601,1335,66090.37,2024-08-23,2024-11-12,Awareness,North America
"Harris, Castillo and Sullivan",TV,1336.01,96932,2283,82,1401.31,2022-06-16,2023-03-04,Awareness,India
"Simmons, Nicholson and Shelton",Radio,2901.14,256656,8514,758,54402.21,2022-10-26,2024-03-11,Awareness,South America
Anderson-Allen,Email,661.99,27141,1652,359,12057.5,2022-05-28,2022-11-22,Conversion,Europe
Myers-Fleming,Radio,4573.85,340750,13911,1218,128651.35,2022-10-25,2023-10-22,Awareness,South America
Meyer Group,Social Media,1351.38,81614,4978,765,58829.06,2023-05-07,2023-11-16,Retargeting,North America
Collins-Curtis,Social Media,1484.13,67883,5801,644,9195.31,2023-08-12,2024-11-09,Retargeting,Asia
Harris-Howard,Email,861.09,48659,3592,611,41273.96,2022-01-31,2024-11-19,Conversion,India
Aguilar PLC,TV,5346.82,485196,7708,858,67271.02,2023-01-17,2023-08-23,Retargeting,India
"Davis, Blankenship and Allen",Search Engine,3235.16,171795,15406,1372,49392.57,2023-11-07,2024-02-29,Awareness,South America
Lopez Inc,TV,2688.46,159604,5940,570,24698.24,2022-03-25,2023-05-13,Awareness,India
Meyer-Thomas,Email,229.76,8743,1099,326,13662.4,2021-12-04,2024-02-02,Conversion,Asia
Mitchell-Crawford,Social Media,3129.7,206402,21474,2968,129236.37,2022-09-17,2023-08-18,Retargeting,Asia
"Bryant, Parker and Paul",Email,426.95,14675,1194,204,15337.53,2023-09-25,2024-05-24,Awareness,North America
Bates and Sons,Radio,4081.71,314785,6295,458,14898.79,2022-04-01,2024-08-12,Conversion,North America
Bowen-Smith,Radio,1811.84,175185,2508,237,5587.81,2022-11-19,2024-10-21,Retargeting,Asia
Green-Martinez,Social Media,823.76,33207,3030,376,36547.66,2023-09-08,2024-11-14,Conversion,Asia
Carter and Sons,Radio,2693.93,169488,6195,392,37821.83,2024-09-08,2024-10-06,Retargeting,North America
Davis-Quinn,Radio,4560.47,80032,2805,225,2134.52,2024-06-27,2024-08-21,Retargeting,Asia
"Vazquez, Smith and Jones",TV,4291.01,295797,3527,216,22841.74,2023-10-27,2024-11-02,Retargeting,Asia
Graves Inc,TV,2509.61,144274,7201,365,15601.45,2022-05-05,2022-08-31,Conversion,North America
Peterson and Sons,TV,4269.77,280944,14194,665,54724.97,2023-11-23,2024-02-01,Awareness,India
Ritter-Bender,Search Engine,2527.79,137592,21809,3909,387104.7,2024-08-21,2024-11-28,Conversion,South America
Jackson-Brown,TV,2172.74,191483,9371,606,30293.84,2022-02-10,2023-02-21,Retargeting,South America
Oliver-Rivera,Radio,3405.85,335957,8432,319,13114.44,2022-10-02,2024-07-16,Conversion,South America
Day PLC,Email,979.49,47863,5397,781,64782.83,2024-01-29,2024-04-23,Conversion,North America
"Contreras, Mayo and Mosley",Radio,4097.7,254056,8197,612,51007.42,2024-03-07,2024-05-19,Awareness,India
Wyatt and Sons,TV,2756.37,263308,5399,394,29518.84,2024-06-18,2024-07-27,Awareness,South America
Mueller LLC,Email,519.48,16860,1733,309,30314.68,2024-08-10,2024-09-16,Retargeting,Asia
Arellano-Turner,Search Engine,1062.07,42995,4467,789,55699.79,2024-10-03,2024-11-27,Retargeting,India
Johnston Inc,TV,4155.43,458361,10654,267,13383.23,2023-09-25,2023-11-19,Awareness,South America
"Martin, Martinez and Thomas",Search Engine,3272.67,167075,21875,2746,89561.21,2024-09-18,2024-11-10,Retargeting,South America
Patterson-Andersen,Social Media,2173.38,134501,4607,718,47044.13,2022-07-16,2023-01-05,Conversion,North America
Davis LLC,TV,1750.35,105799,6774,508,38308.99,2022-12-31,2024-04-08,Awareness,Europe
"Davis, Clarke and Morgan",TV,1185.42,103619,3320,182,2903.95,2023-09-24,2023-10-04,Conversion,Asia
"Rush, Holt and Scott",Social Media,1882.48,115219,5063,279,7478.77,2021-12-06,2024-03-04,Conversion,Europe
Giles-Barnes,Radio,4127.06,356354,18393,1720,132742.51,2023-08-24,2023-12-10,Retargeting,India
Harris and Sons,Radio,2166.75,131905,4337,367,20671.46,2022-02-22,2023-03-29,Conversion,Europe
"Young, Hughes and Perez",Social Media,1201.62,69824,3850,377,12891.71,2024-02-17,2024-04-09,Retargeting,Asia
"Sutton, Nguyen and Liu",Radio,3291.75,262178,7964,491,17257.84,2022-09-12,2024-09-17,Awareness,Asia
Drake Inc,TV,2082.25,215153,5589,129,1700.26,2023-12-09,2024-02-18,Awareness,South America
"Perez, Patterson and Morris",Radio,3182.66,310991,4956,241,5348.07,2022-09-09,2023-12-08,Conversion,Europe
"Potts, Vasquez and Hamilton",Email,641.11,35037,1764,513,23977.23,2022-10-13,2023-11-21,Awareness,Europe
"Hill, Ross and Chavez",Social Media,1478.94,132837,12420,917,31414.35,2024-08-26,2024-11-01,Retargeting,North America
Dorsey LLC,Radio,5380.0,402381,5525,209,16507.15,2024-04-06,2024-05-28,Conversion,North America
"Guerrero, Harrison and Ray",Email,4178.24,34418,5823,1432,61986.25,2024-04-25,2024-07-10,Conversion,Asia
Miller-Rose,Search Engine,3345.41,219450,8886,1736,73786.42,2022-05-04,2022-11-05,Retargeting,North America
"Patterson, Turner and Harmon",Social Media,1744.97,83223,3979,376,29905.61,2022-08-09,2024-08-05,Conversion,South America
Taylor Group,TV,2754.56,206210,7383,134,10756.42,2021-12-17,2022-01-09,Conversion,India
Goodman LLC,Email,271.66,13156,1560,432,8590.47,2023-10-19,2024-01-08,Awareness,South America
"Anderson, Moore and Simpson",Radio,2197.76,170922,8732,772,41878.31,2024-09-24,2024-11-04,Awareness,South America
Carr-Tucker,Email,655.76,28218,1285,188,4476.73,2023-06-11,2024-08-07,Conversion,South America
Warner-Perez,Email,733.78,25307,2415,763,25155.82,2023-06-26,2023-10-29,Conversion,South America
Smith-Barrett,Social Media,1798.54,69519,5179,1322,72490.93,2022-10-19,2023-07-20,Retargeting,South America
Randolph LLC,TV,1416.43,83086,927,104,7705.94,2023-10-07,2024-04-21,Awareness,Asia
Ray-Smith,TV,2521.67,242690,9071,385,36531.89,2023-12-24,2024-12-04,Retargeting,India
Spencer Group,Search Engine,3699.51,158226,9625,1156,98886.03,2022-06-02,2024-08-23,Retargeting,Asia
Mitchell-Yu,Email,469.77,18653,1167,169,14621.01,2023-03-18,2023-03-30,Awareness,South America
"Brooks, Parker and Good",Email,979.06,48138,6726,1091,125418.4,2023-10-02,2024-10-31,Conversion,India
Harvey-Mcdowell,Radio,1532.34,148380,3267,124,3272.32,2022-01-14,2023-08-01,Conversion,South America
Martin and Sons,Email,255.0,11077,2002,270,16247.66,2024-09-20,2024-10-25,Awareness,Asia
Reed Inc,Social Media,766.35,52671,1489,219,8954.94,2022-05-29,2022-12-11,Awareness,Asia
Hernandez-Mcmillan,TV,4058.12,254549,12274,1016,73991.41,2022-12-03,2023-04-05,Retargeting,Asia
Bryant-Small,Search Engine,14266.63,135274,4793,1120,19339.89,2023-06-16,2024-05-29,Retargeting,India
Harvey LLC,Radio,2411.18,207946,2965,53,3898.36,2024-04-22,2024-11-13,Retargeting,North America
Wilson-Callahan,Email,977.56,29612,4534,1323,37581.04,2024-03-14,2024-05-09,Retargeting,India
"Mendoza, Stevenson and James",Radio,5125.74,457291,12121,441,27620.41,2024-08-30,2024-09-12,Conversion,North America
Kirk Inc,Email,286.79,11071,1274,198,11809.28,2023-10-19,2024-05-13,Retargeting,Asia
Brown Ltd,Search Engine,3041.45,107116,6251,1270,147515.09,2024-11-09,2024-11-20,Awareness,India
Leonard-Fox,Search Engine,1687.63,64443,6626,835,71304.02,2023-08-20,2023-10-11,Awareness,Asia
Powers PLC,Search Engine,1455.86,89001,6824,629,58741.64,2022-06-23,2024-09-14,Conversion,South America
"Howell, Fisher and Lawrence",Radio,3253.04,209747,3372,415,8879.86,2022-10-22,2023-01-07,Retargeting,Asia
"Nunez, Krueger and Davis",Radio,2667.89,161428,3582,162,10507.51,2023-01-21,2024-11-20,Retargeting,India
"Romero, Ramos and Murphy",Search Engine,2414.8,157957,9700,1540,159996.09,2022-02-03,2023-04-17,Awareness,North America
"Contreras, Mccormick and Crawford",Search Engine,1354.58,60873,5262,504,19481.34,2023-09-18,2024-01-19,Conversion,North America
Hudson-Mcpherson,Email,414.69,16792,1215,304,17352.78,2022-12-26,2023-09-03,Retargeting,Europe
"Turner, Fowler and Allen",Radio,4472.96,286491,9167,970,33447.12,2023-01-01,2024-09-20,Conversion,South America
Montoya-Sims,Search Engine,3421.08,161447,17054,1856,45067.03,2022-03-04,2023-02-25,Conversion,North America
Kim-Martin,TV,5092.62,431557,13440,925,99086.8,2023-06-08,2023-07-04,Conversion,North America
"Barber, Davis and Martinez",Radio,3115.9,248302,11056,755,25184.01,2024-05-10,2024-08-26,Awareness,North America
Smith-Barnes,Email,273.07,15345,1140,106,7781.97,2023-10-09,2024-09-22,Retargeting,Europe
Walker Ltd,TV,1742.43,81589,1579,126,1676.02,2023-11-23,2024-03-24,Awareness,North America
Henderson-Lee,Email,393.72,20807,3511,972,9785.78,2022-11-08,2023-05-07,Retargeting,Asia
Medina Group,Email,723.27,21832,2563,392,4418.03,2024-08-14,2024-09-11,Retargeting,Asia
"Oneill, Johnson and Mack",TV,1988.44,164390,4157,168,15393.91,2024-11-18,2024-12-21,Retargeting,India
"Brooks, Haney and Petersen",Email,886.51,30740,2686,1003,27914.17,2022-10-10,2024-12-18,Awareness,India
Shannon Group,TV,2369.57,183242,3894,245,12585.53,2024-03-07,2024-08-26,Conversion,Asia
"Jones, Flores and Moody",Social Media,666.03,34958,3352,562,18527.19,2023-06-06,2024-07-01,Awareness,South America
Barron Group,TV,3577.44,432121,7309,120,11998.69,2022-03-28,2023-08-23,Awareness,South America
Mcbride and Sons,TV,2589.79,140063,1819,189,9056.87,2022-10-15,2023-11-19,Retargeting,North America
Anderson Ltd,TV,1701.22,113621,3124,123,10182.17,2022-11-16,2024-08-29,Retargeting,North America
Thompson-Lane,Social Media,929.85,73642,4711,402,21275.66,2023-02-15,2024-09-08,Retargeting,North America
Anderson-Foster,Social Media,2697.29,118072,10598,1364,35702.41,2023-01-13,2024-07-29,Conversion,Asia
"Campbell, Salas and Jenkins",Search Engine,4041.29,233988,8924,1277,23164.57,2024-10-24,2024-12-03,Conversion,Europe
"Davidson, Garrett and Morris",Email,915.7,58984,6435,1380,115241.2,2023-10-22,2024-10-27,Awareness,North America
Bell-Crawford,Radio,3655.1,246214,14086,1206,68877.36,2023-10-09,2024-09-10,Retargeting,Europe
Weaver Ltd,Search Engine,3647.73,193982,15303,2138,122425.24,2024-10-20,2024-12-05,Awareness,South America
Sanders-Reeves,Social Media,11423.32,180320,9990,700,14141.44,2022-10-14,2024-08-26,Awareness,South America
Holt LLC,Radio,1860.73,132901,5828,276,17619.64,2023-10-21,2024-04-21,Retargeting,North America
Cole Ltd,Social Media,1123.87,84051,4244,205,6082.51,2024-09-07,2024-11-29,Conversion,India
Shelton-Craig,Search Engine,1575.8,93270,6377,637,6943.05,2024-02-12,2024-06-16,Conversion,North America
"Benton, Wood and Rodriguez",Social Media,6529.31,62134,5295,409,12671.06,2024-02-08,2024-04-27,Awareness,South America
"Lawson, Horne and Coleman",Social Media,2245.6,146715,13051,2424,53854.86,2022-12-24,2023-05-22,Conversion,North America
"Miranda, Carter and Davis",TV,4345.36,187746,2533,154,6877.48,2023-12-05,2024-08-08,Awareness,North America
Norton and Sons,Email,749.68,25888,2707,454,13798.74,2024-05-23,2024-09-18,Awareness,North America
Armstrong LLC,Radio,4398.4,265441,6114,151,11536.63,2024-05-08,2024-09-14,Awareness,Asia
Harmon LLC,Email,388.31,12842,553,132,10890.85,2024-10-13,2024-11-27,Awareness,North America
"Garrett, Brown and Gutierrez",Search Engine,2624.19,117509,18507,4111,349857.44,2024-08-29,2024-11-19,Awareness,India
Novak-Thomas,Radio,1148.16,73138,2888,226,17503.99,2024-07-09,2024-09-12,Conversion,Asia
"Smith, Banks and Cook",Social Media,705.49,55493,4094,201,18218.26,2024-09-20,2024-10-14,Retargeting,Europe
"Armstrong, Anderson and Rangel",TV,1837.36,107664,4122,95,6215.22,2022-02-04,2022-03-03,Retargeting,India
Robinson Inc,Radio,3944.23,243855,10154,269,22021.98,2021-12-27,2022-05-13,Retargeting,India
"Rodriguez, Gardner and Cardenas",Email,712.41,25702,2933,254,20146.94,2022-05-02,2023-04-16,Awareness,Europe
Espinoza-Orozco,TV,1178.68,96913,1263,40,1816.57,2023-04-26,2024-04-10,Retargeting,India
Murphy-Scott,Radio,2682.28,127977,5492,181,10015.08,2022-12-19,2023-11-12,Awareness,North America
Rubio Ltd,Search Engine,2679.82,138428,14737,2521,71421.2,2023-09-09,2023-12-05,Retargeting,Asia
"Franklin, Rodriguez and Little",Radio,2931.46,176938,4795,157,15320.55,2024-03-28,2024-12-15,Awareness,South America
Lopez-Williams,TV,1782.83,126728,2464,125,8684.92,2022-10-10,2024-05-03,Awareness,South America
Mullen PLC,Search Engine,9380.73,96259,9955,1067,48489.06,2023-07-29,2024-01-26,Awareness,Asia
"Harding, Wood and Porter",Search Engine,1019.15,82605,6058,494,11365.33,2022-12-05,2024-11-02,Conversion,North America
Bailey-Taylor,Social Media,830.31,55482,5062,685,9666.86,2024-03-29,2024-07-12,Awareness,India
Edwards Group,Social Media,2606.92,168567,6870,1109,94260.97,2024-08-14,2024-10-04,Awareness,India
Richardson Inc,Search Engine,3401.58,150772,5897,1106,81323.86,2024-03-03,2024-08-18,Conversion,South America
Todd LLC,Radio,3107.16,203276,5722,539,22375.08,2022-09-24,2023-08-19,Awareness,Europe
"Hall, Garza and Sawyer",Search Engine,2612.02,167265,14612,3138,270493.81,2024-07-22,2024-08-02,Conversion,Europe
Sanchez-Kennedy,Radio,6191.62,175795,8136,270,3049.65,2022-06-04,2024-01-30,Conversion,Europe
Butler-Joseph,Search Engine,1727.74,95886,8727,1436,18532.54,2024-05-19,2024-08-21,Retargeting,Europe
"Nicholson, Santana and Griffith",Email,884.28,38474,2860,508,44271.76,2022-06-20,2022-09-04,Retargeting,India
"Sanchez, Foster and Baker",Email,804.09,38537,3388,907,47940.38,2022-08-03,2022-11-09,Awareness,Europe
Anthony Ltd,TV,1776.35,93735,1252,46,600.15,2024-02-10,2024-03-22,Awareness,India
Vasquez-Parker,Social Media,9966.26,153896,12813,2726,29929.68,2022-03-11,2022-03-31,Conversion,India
"Brown, Hughes and Thomas",Radio,3727.21,285070,7445,774,27398.24,2024-05-09,2024-11-03,Conversion,India
Fisher and Sons,Search Engine,2743.94,130019,15564,2009,34662.25,2024-10-28,2024-12-04,Retargeting,Asia
Henson-Douglas,Email,501.63,17263,2275,350,16247.58,2024-03-13,2024-07-29,Awareness,India
Graham-Johnson,Search Engine,1760.12,97302,6315,889,44840.08,2024-05-08,2024-11-22,Retargeting,North America
Hamilton-Ayers,TV,3567.12,227972,8366,185,16569.36,2024-01-05,2024-09-25,Awareness,Europe
